,participant,block,net_trial,net_size,net_contents,offer_1,offer_2,offer_3,choice,switch_trial,prop_filled,raw_distance,trials_invested,net_item_idx,best_alt_idx,worst_alt_idx,goal_offer,best_alt_offer,worst_alt_offer,in_scanner,decisionRT,myopic_values_1,myopic_values_2,myopic_values_3,tree_search_item1,tree_search_item2,tree_search_item3
10,0,2,1,18,0.0,6.1341436930597,3.92473830103025,5.28560308016004,3,0,0.0,18.0,0,,,,,,,1.0,,6.1341436930597,3.92473830103025,5.28560308016004,-4.72695,-6.75105,-5.3637
11,0,2,2,18,5.28560308016004,0.501277820707094,4.15079668130074,5.99411001791493,3,0,0.293644615564447,12.71439691984,1,3.0,2.0,1.0,5.99411001791493,4.15079668130074,0.501277820707094,1.0,,0.501277820707094,4.15079668130074,11.279713098075,-10.84955,-6.448,-3.69165
12,0,2,3,18,11.279713098075,0.738577216379021,4.7155001432013,7.51468535941655,3,0,0.626650727670832,6.72028690192503,2,3.0,2.0,1.0,7.51468535941655,4.7155001432013,0.738577216379021,1.0,,0.738577216379021,4.7155001432013,18.7943984574915,-10.6329,-5.9041,-1.0
22,0,4,1,12,0.0,5.9098378425499,6.91348606374691,5.05423404411402,2,0,0.0,12.0,0,,,,,,,1.0,,5.9098378425499,6.91348606374691,5.05423404411402,-3.3997,-2.64355,-3.8843
23,0,4,2,12,6.91348606374691,5.77855311192593,-0.524726710525532,3.34221733586607,1,1,0.576123838645576,5.08651393625309,1,2.0,1.0,3.0,-0.524726710525532,5.77855311192593,3.34221733586607,1.0,,5.77855311192593,6.38875935322138,3.34221733586607,-3.4825,-8.92255,-5.403
24,0,4,3,12,5.77855311192593,5.31755635908328,0.592587783614795,3.68365736549576,1,0,0.481546092660494,6.22144688807407,1,1.0,3.0,2.0,5.31755635908328,3.68365736549576,0.592587783614795,1.0,,11.0961094710092,0.592587783614795,3.68365736549576,-2.41305,-9.17085,-4.9418
25,0,4,4,12,11.0961094710092,5.24922305047297,0.15654460952699,-0.435612378473632,1,0,0.924675789250768,0.903890528990789,2,1.0,2.0,3.0,5.24922305047297,0.15654460952699,-0.435612378473632,1.0,,16.3453325214822,0.15654460952699,-0.435612378473632,-1.0,-9.5429,-9.9636
26,0,5,1,19,0.0,6.71528304706609,6.37737170856651,5.31760837744301,2,0,0.0,19.0,0,,,,,,,1.0,,6.71528304706609,6.37737170856651,5.31760837744301,-4.5995,-4.8247,-5.57435
27,0,5,2,19,6.37737170856651,6.03038484533183,6.58815966087515,5.01949406713117,2,0,0.335651142556132,12.6226282914335,1,2.0,1.0,3.0,6.58815966087515,6.03038484533183,5.01949406713117,1.0,,6.03038484533183,12.9655313694417,5.01949406713117,-5.10345,-2.98685,-5.8486
28,0,5,3,19,12.9655313694417,0.713478585204089,7.6286510907781,4.91128593347602,2,0,0.682396387865351,6.03446863055834,2,2.0,3.0,1.0,7.6286510907781,4.91128593347602,0.713478585204089,1.0,,0.713478585204089,20.5941824602198,4.91128593347602,-10.8264,-1.0,-5.9608
38,0,7,1,56,0.0,6.37640799848765,6.1164938387824,7.07900232631513,2,0,0.0,56.0,0,,,,,,,1.0,,6.37640799848765,6.1164938387824,7.07900232631513,-12.8916,-13.14615,-12.32
39,0,7,2,56,6.1164938387824,-0.33891528101406,6.29022790257765,6.46228581868169,2,0,0.109223104263971,49.8835061612176,1,2.0,3.0,1.0,6.29022790257765,6.46228581868169,-0.33891528101406,1.0,,-0.33891528101406,12.4067217413601,6.46228581868169,-18.0364,-11.84555,-12.706
40,0,7,3,56,12.4067217413601,1.02872090178786,6.24214723347633,7.88531800475215,2,0,0.221548602524287,43.5932782586399,2,2.0,3.0,1.0,6.24214723347633,7.88531800475215,1.02872090178786,1.0,,1.02872090178786,18.6488689748364,7.88531800475215,-17.408,-10.66205,-11.5409
41,0,7,4,56,18.6488689748364,1.54918466540473,5.76514320183707,9.1548757125743,2,0,0.333015517407793,37.3511310251636,3,2.0,3.0,1.0,5.76514320183707,9.1548757125743,1.54918466540473,1.0,,1.54918466540473,24.4140121766735,9.1548757125743,-17.06915,-9.72325,-10.6387
42,0,7,5,56,24.4140121766735,1.3165408727525,6.95387409694604,9.69391765090106,2,0,0.435964503154883,31.5859878233265,4,2.0,3.0,1.0,6.95387409694604,9.69391765090106,1.3165408727525,1.0,,1.3165408727525,31.3678862736195,9.69391765090106,-17.2551,-7.56465,-10.19905
43,0,7,6,56,31.3678862736195,0.283400484094262,7.45537880838419,10.3311622241604,2,0,0.560140826314634,24.6321137263805,5,2.0,3.0,1.0,7.45537880838419,10.3311622241604,0.283400484094262,1.0,,0.283400484094262,38.8232650820037,10.3311622241604,-17.83225,-5.66295,-9.93735
44,0,7,7,56,38.8232650820037,0.0712024238345562,6.33043224607314,2.028332203653,2,0,0.693272590750066,17.1767349179963,6,2.0,3.0,1.0,6.33043224607314,2.028332203653,0.0712024238345562,1.0,,0.0712024238345562,45.1536973280768,2.028332203653,-17.97055,-4.43345,-16.66555
45,0,7,8,56,45.1536973280768,-0.336757458026159,7.32502393225927,1.14179071046452,2,0,0.806316023715658,10.8463026719232,7,2.0,3.0,1.0,7.32502393225927,1.14179071046452,-0.336757458026159,1.0,,-0.336757458026159,52.4787212603361,1.14179071046452,-18.0374,-2.6588,-17.48715
46,0,7,9,56,52.4787212603361,-1.60291829350476,8.4157065725175,0.0477459949728938,2,0,0.937120022506002,3.52127873966391,8,2.0,3.0,1.0,8.4157065725175,0.0477459949728938,-1.60291829350476,1.0,,-1.60291829350476,60.8944278328536,0.0477459949728938,-18.3722,-1.0,-17.7842
47,0,8,1,29,0.0,5.42602134281897,5.52381857445661,6.8743572089513,1,0,0.0,29.0,0,,,,,,,1.0,,5.42602134281897,5.52381857445661,6.8743572089513,-8.05655,-7.91675,-6.86
48,0,8,2,29,5.42602134281897,4.39527606596085,11.8863292020753,6.90646289536229,2,1,0.187104184235137,23.573978657181,1,1.0,2.0,3.0,4.39527606596085,11.8863292020753,6.90646289536229,1.0,,9.82129740877982,11.8863292020753,6.90646289536229,-7.8072,-4.5462,-6.86485
49,0,8,3,29,11.8863292020753,3.8212893347508,11.3532383840582,7.10745927112095,2,0,0.409873420761217,17.1136707979247,1,2.0,3.0,1.0,11.3532383840582,7.10745927112095,3.8212893347508,1.0,,3.8212893347508,23.2395675861335,7.10745927112095,-9.71445,-2.6821,-6.7944
50,0,8,4,29,23.2395675861335,3.04061484613309,12.2730287691504,13.13054616343,2,0,0.801364399521845,5.7604324138665,2,2.0,3.0,1.0,12.2730287691504,13.13054616343,3.04061484613309,1.0,,3.04061484613309,35.5125963552839,13.13054616343,-10.63865,-1.0,-4.4726
60,0,10,1,16,0.0,6.54171952609062,5.85189471020416,4.86019764011782,1,0,0.0,16.0,0,,,,,,,1.0,,6.54171952609062,5.85189471020416,4.86019764011782,-4.16365,-4.31185,-5.2216
61,0,10,2,16,6.54171952609062,1.69325621732285,5.87451645579864,4.50271961796759,2,1,0.408857470380664,9.45828047390938,1,1.0,2.0,3.0,1.69325621732285,5.87451645579864,4.50271961796759,1.0,,8.23497574341347,5.87451645579864,4.50271961796759,-7.1535,-4.30955,-5.4736
62,0,10,3,16,5.87451645579864,-0.0539097808457372,5.04592002809173,2.51921141110116,2,0,0.367157278487415,10.1254835442014,1,2.0,3.0,1.0,5.04592002809173,2.51921141110116,-0.0539097808457372,1.0,,-0.0539097808457372,10.9204364838904,2.51921141110116,-10.7604,-3.303,-7.8976
63,0,10,4,16,10.9204364838904,-1.12576737160615,4.6529175419567,3.27214053996736,2,0,0.682527280243148,5.07956351610963,2,2.0,3.0,1.0,4.6529175419567,3.27214053996736,-1.12576737160615,1.0,,-1.12576737160615,15.5733540258471,3.27214053996736,-11.16695,-2.4543,-6.8856
64,0,10,5,16,15.5733540258471,-0.0231947121027352,4.40865446594275,3.78088937991307,2,0,0.973334626615442,0.42664597415293,3,2.0,3.0,1.0,4.40865446594275,3.78088937991307,-0.0231947121027352,1.0,,-0.0231947121027352,19.9820084917898,3.78088937991307,-10.8276,-1.0,-6.3409
65,0,11,1,25,0.0,5.61535188254443,5.74571545515475,7.16003625378903,2,0,0.0,25.0,0,,,,,,,1.0,,5.61535188254443,5.74571545515475,7.16003625378903,-6.91205,-6.81935,-5.81405
66,0,11,2,25,5.74571545515475,7.24257149697512,5.92587874356182,5.87714236545814,2,0,0.22982861820619,19.2542845448452,1,2.0,1.0,3.0,5.92587874356182,7.24257149697512,5.87714236545814,1.0,,7.24257149697512,11.6715941987166,5.87714236545814,-5.7301,-5.2677,-6.7184
